,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,7.840062720501764e-05,2.2528915863510816e-05,2.286684960146348e-05,6.186759162671785e-05,0.00011433424800731738,0.0003920031360250882,0.0017202316019132332,12.701784826071806,0.9999943419220974,0.21151995658874512,0.012687921524047852
10,4.13781088026482e-05,2.2528915863510816e-05,1.1977873600766584e-05,4.14101315878754e-05,0.00011433424800731738,0.0003920031360250882,0.0028950239154149535,12.046098823620548,0.9951154749107941,0.21151995658874512,0.012687921524047852
20,7.077834400452981e-05,3.69170666909175e-05,1.1061918560707963e-05,6.0627611492399394e-05,0.00016134900321032635,0.0011760094080752645,0.005118737937400353,12.077091180504334,0.9961944260810476,0.21151995658874512,0.012687921524047852
100,0.00332158936222148,0.003288634058259294,6.660764865540202e-05,0.0008170948769212494,0.0004370240075544192,0.01724813798510388,0.016195351178988,11.961519712562044,0.996291959901031,0.21151995658874512,0.012687921524047852
