,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Time_fit,Time_predict
5,0.017798534798534795,0.013884665497770923,0.008575763125763126,0.014114498322335835,0.021860806,0.04725274725274725,0.0006503314592598809,1.4135921001434326,76.59725713729858
10,0.023501046572475145,0.021040560550648797,0.008529847423299805,0.016134591014211216,0.02511774,0.07362637362637363,0.0010279432743140052,1.4135921001434326,76.59725713729858
20,0.03785948896134995,0.036220725378852174,0.009231975352068872,0.02083553773311642,0.028627533,0.12417582417582418,0.001783166904422254,1.4135921001434326,76.59725713729858
100,0.09323425185572015,0.09298992307042077,0.010335383087546836,0.03399646711324619,0.031706106,0.25868131868131866,0.00721658135436771,1.4135921001434326,76.59725713729858
