,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.003365198437724743,0.0023491072330611485,0.00192813386294317,0.003039915320694048,0.0049650922207101055,0.009128024695455903,0.6189327447860528,11.166252516978279,0.9618623174789316,823.4111003875732,1.1313209533691406
10,0.004844162358186323,0.004265101859568994,0.0019540725566881507,0.0036224978970485554,0.005741659250969836,0.014903574866398912,0.7884822665913873,11.317164805118967,0.9699111467383688,823.4111003875732,1.1313209533691406
20,0.006774143079304428,0.006481695357090539,0.002027756436600858,0.004304181945927316,0.0062056437412194,0.021608523915424702,0.9072695854505637,11.472949986271187,0.9767083210145693,823.4111003875732,1.1313209533691406
100,0.01629874920571888,0.01628093715985352,0.002340699644253269,0.007013240953692048,0.006714015562486291,0.04384771135526272,0.9935157145545689,11.838680934488714,0.9879194697906745,823.4111003875732,1.1313209533691406
