,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.10990424895272292,0.08402069018887932,0.06877194294833433,0.10449683388647363,0.18054308797127466,0.2719928186714542,0.03921946209641183,6.1814294,0.8361895749905867,7.209064483642578,3.932412624359131
10,0.12335926590863754,0.1130749429854625,0.061398514302156794,0.10457439243855146,0.188577377390214,0.3339317773788151,0.0638038385005456,6.572958,0.8637409734829344,7.209064483642578,3.932412624359131
20,0.15367933951540916,0.15075055202030652,0.06036746998830258,0.11205384320004118,0.1935419985391742,0.40754039497307004,0.10796585146671801,6.981081,0.8920677871073872,7.209064483642578,3.932412624359131
100,0.290394560297269,0.2902039724922288,0.06450704761175284,0.14626339710221659,0.19772202040524306,0.5870736086175943,0.32794145965723087,8.004544,0.9440793061720024,7.209064483642578,3.932412624359131
