,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.019098270549801042,0.013761793592698267,0.009801675775826923,0.01710496884231828,0.031011658692925815,0.05987272980630777,0.05860271115745568,5.1798377,0.8919086954133344,91.01689147949219,25.93033766746521
10,0.026161593037667172,0.023759821752525185,0.009383484201221738,0.01973663652063106,0.0359243014405818,0.09744995122857542,0.0821689259645464,5.3264227,0.9048965890090614,91.01689147949219,25.93033766746521
20,0.040759999274905444,0.04003567118110626,0.009967775620128162,0.024768119948216687,0.0396008809002759,0.15156300803567282,0.11418143899895725,5.50891,0.9189284008613986,91.01689147949219,25.93033766746521
100,0.12616529229975543,0.1261513769290757,0.01231369923416764,0.04731115130649012,0.04404287292160363,0.34841376747642716,0.25630865484880083,6.104969,0.9497703763954424,91.01689147949219,25.93033766746521
