,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.1772333044232437,0.0331116685497707,0.12034836657993639,0.18159421974219492,0.29920497253541484,0.4666088464874241,0.22592,4.336373362374733,0.6432467583206751,217.0051338672638,0.030186891555786133
10,0.17473223750326958,0.056814971965567014,0.09645569116310557,0.17546406851161234,0.315545712358375,0.5897658282740676,0.30016,4.417210076774621,0.6671072434763476,217.0051338672638,0.030186891555786133
20,0.18548026354398345,0.10003245264116245,0.07993181067813611,0.17450661241219928,0.3240757723862439,0.7111882046834345,0.39232,4.500994064982154,0.6945485349810454,217.0051338672638,0.030186891555786133
100,0.32265977432910947,0.3064488400620071,0.07285738933398986,0.22314276506233213,0.3292062024357198,0.9054640069384216,0.65888,4.806172954669646,0.7710317589611339,217.0051338672638,0.030186891555786133
