,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K
5,0.009433962264150943,0.009433962264150943,0.009433962264150943,0.011568814957838838,0.01886792480945587,0.018867924528301886,0.9890873015873016
10,0.018867924528301886,0.011418933091153608,0.010738993710691822,0.017959227325995586,0.028144653886556625,0.09433962264150944,0.9990079365079365
20,0.02080436941410129,0.012725841388249618,0.011431345296641165,0.020450125023588787,0.03096979670226574,0.1320754716981132,1.0
100,0.1066833109023303,0.10448289630903945,0.01314369956421349,0.04615574784560713,0.03725332021713257,0.39622641509433965,1.0
