,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.11841640716425013,0.02341122577979419,0.08505808226061315,0.12301392104084266,0.20167668312936773,0.3089533292341869,0.4941932226211849,6.185456781969401,0.7456256647348649,395553.8133661747,19.824559450149536
10,0.1099966123797371,0.039372268198800964,0.06569678185707466,0.11425115065920892,0.2142197682439565,0.40328658984072835,0.6392504488330341,6.2204177820865665,0.7748064271347684,395553.8133661747,19.824559450149536
20,0.10775838309275887,0.06329340255248968,0.05137785920313634,0.10756872365244263,0.2212142088332827,0.5040462542396414,0.7834567624177139,6.279614447264145,0.8087516957931526,395553.8133661747,19.824559450149536
100,0.17444107227167735,0.16953575530219747,0.04132879668238509,0.1256211002587743,0.2267285698651042,0.7242795088958089,0.9849734440454817,6.532457639463973,0.8838665816561074,395553.8133661747,19.824559450149536
