,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.0056621413792721925,0.00434533458884401,0.003271530151986221,0.0048941764481216805,0.007174074197010433,0.013111162744382116,0.3952847781826892,10.488851584927335,0.8472044541942032,1.257157325744629,9.387023687362671
10,0.007335138390338046,0.006604692622935366,0.0032638600992006103,0.0055597302694556285,0.008027656465934422,0.019616954890961595,0.6143133329911546,10.641647780614836,0.8787974774321746,1.257157325744629,9.387023687362671
20,0.009722873593758776,0.009397815379535013,0.003397563861986873,0.006430398241997415,0.008515087796331769,0.026753410561954395,0.8533935567759927,10.816975397541087,0.9099245764260013,1.257157325744629,9.387023687362671
100,0.021893682407193343,0.021877554628297224,0.0038865827013655524,0.009952517448309136,0.009131226284033867,0.052677000697049156,0.9990761176410203,11.352916093561017,0.9639797491380314,1.257157325744629,9.387023687362671
