,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.0017929398632621739,0.0016929029879008948,0.0005787521510627412,0.0010625421550521795,0.0012383144970001393,0.0037672666387609877,0.00029929167636593394,6.187186956679418,0.9743206488757953,0.04074501991271973,16.232657194137573
10,0.0017740038669297774,0.0017626671849149873,0.0005571584710345698,0.0010424341163464493,0.0012731965955071855,0.003976559229803265,0.000565328722024542,6.560941600046277,0.960073445241763,0.04074501991271973,16.232657194137573
20,0.002230841542915263,0.00222989021295598,0.0005781264619834911,0.001219911252891734,0.0014190894425963052,0.006697362913352867,0.0009976389212197798,6.875006588185754,0.956539597064414,0.04074501991271973,16.232657194137573
100,0.011484972297309376,0.011484972297309376,0.0007574443942289065,0.0032166014358783516,0.0018629772750892786,0.029510255336961073,0.004489375145489009,7.68172502412813,0.9717243114088863,0.04074501991271973,16.232657194137573
