,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.045917599030576836,0.03141632646009194,0.03024650290003412,0.048182072235542335,0.09336580430358005,0.14280168001976493,0.012549976515333768,8.04495028681001,0.841418592714243,0.5993435382843018,0.14693498611450195
10,0.05077739009814681,0.045466457089381296,0.025771934073796448,0.04764375860240711,0.0995264650172355,0.18896692902269438,0.022006850648978702,8.369299681032155,0.8581635927210767,0.5993435382843018,0.14693498611450195
20,0.0672384132088566,0.06582485893407129,0.025410462678091158,0.05263861122071333,0.10371512274275099,0.24953234743938163,0.04068002428658166,8.737970339549559,0.8766371605830465,0.5993435382843018,0.14693498611450195
100,0.14151536991242647,0.14147830951616414,0.027627607475049092,0.07365308635998102,0.10744432343356614,0.40602830621536723,0.17017218269924733,9.830050201739379,0.914800089134332,0.5993435382843018,0.14693498611450195
