,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Time_fit,Time_predict
5,0.0048249490142760025,0.004483663130772332,0.0026048039882166324,0.0038463187931746566,0.005572173278778791,0.010571040108769544,0.0412336648677579,954.299622297287,1048.2007200717926
10,0.008109346843201366,0.007966681013499776,0.0029421612468161222,0.005054067585987235,0.006620617583394051,0.01859279401767505,0.06505062218455912,954.299622297287,1048.2007200717926
20,0.013127587419834275,0.01308575574350815,0.00327236599300836,0.006580344120785498,0.007438328582793474,0.030591434398368457,0.10503545782971321,954.299622297287,1048.2007200717926
100,0.03284328303837967,0.03283927031581506,0.0037150578380827225,0.011002714782069515,0.008527942933142185,0.0809993201903467,0.30819321172115427,954.299622297287,1048.2007200717926
