,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Time_fit,Time_predict
5,0.04655459295929593,0.03477297445547265,0.029244144206087275,0.04754298102839745,0.09332232922315598,0.14756600660066008,0.0730188679245283,1255.196626663208,698.4212398529053
10,0.05413631541725601,0.05026570739192581,0.025976131762599917,0.04832105337965599,0.09987372905015945,0.19690594059405941,0.11642960812772134,1255.196626663208,698.4212398529053
20,0.07292694296108299,0.07201165384652752,0.02616169973861122,0.05397774023476689,0.10410620272159576,0.2589521452145215,0.18407837445573294,1255.196626663208,698.4212398529053
100,0.1684522713411672,0.16842260373099444,0.028905801804788436,0.0793908771742819,0.10871715098619461,0.45544554455445546,0.4990275761973875,1255.196626663208,698.4212398529053
