,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.1326718639262934,0.0056746788754422775,0.06987243090007088,0.13195014262010812,0.2565201984408221,0.49964564138908574,0.6795650783498561,11.256978463892807,0.7707503329245521,0.5366761684417725,0.4567594528198242
10,0.13664068036853297,0.011804480154649416,0.05329688501906787,0.13501881172998087,0.2875288267917609,0.7292700212615166,0.8538535337384074,11.233630892172052,0.7701641938788527,0.5366761684417725,0.4567594528198242
20,0.13851878100637846,0.024138616927808138,0.04154962199353432,0.1370729986195066,0.30112253359763524,0.9149539333805812,0.9910457307323313,11.201273665888424,0.7695792913899974,0.5366761684417725,0.4567594528198242
100,0.1477758978140728,0.12176826990065294,0.028799600466022222,0.14437631510362567,0.3040130796573723,0.9985825655563431,1.0620402942117044,11.099810271529853,0.7689978141861914,0.5366761684417725,0.4567594528198242
