,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.0649957863347595,0.018789059732181042,0.040268057618188885,0.06455632890141702,0.11159641926853128,0.19330115625331495,0.250042322668021,3.1442633227102936,0.6224825466148218,29490.84102845192,3.153015613555908
10,0.0684533421114518,0.034016223217966296,0.03234287701956214,0.06441711307387175,0.12221981230878545,0.2735891587991938,0.3196772191185599,3.2062509400938706,0.6478781252860277,29490.84102845192,3.153015613555908
20,0.08255842190365399,0.060494579692071976,0.027947755731158652,0.06816381309117923,0.12882814200970935,0.36939995049679997,0.40556402008915976,3.290584983722205,0.6750291095517209,29490.84102845192,3.153015613555908
100,0.21143111776364046,0.20818094740171003,0.029633065411175098,0.10904334241004116,0.1348844177757268,0.6191524344966586,0.6637322950172112,3.6509514397773386,0.7461168511137257,29490.84102845192,3.153015613555908
