,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@k,Diversity@k,Novelty@k
0,0.020479616306954437,0.019880952380952378,0.014709632294164669,0.017267223391537353,0.018501199781894684,0.02805755395683453,0.1949285660857207,0.3511237544302075,337.76708393961997
1,0.03263275094210346,0.03258478931140802,0.01637086997069011,0.021622489293430636,0.020394256338477135,0.04388489208633094,0.2221557334131199,,504.18067861904257
2,0.05376498800959232,0.05376498800959232,0.01879755710536104,0.02837453878844748,0.021918127313256264,0.06618705035971223,0.22843892587328896,,719.8893961849543
3,0.13746536760739192,0.13746536760739192,0.02192281189909621,0.04809792320802331,0.02434033714234829,0.16618705035971224,0.2318797217443339,,1586.817291150468
