,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,4.924279729391888e-06,2.1891531199296615e-06,2.746232926007015e-06,5.19080092496488e-06,1.2310699323479724e-05,1.8939537420738035e-05,0.00025562936004999476,18.176380160967607,1.0,5.982030868530273,7.731131315231323
10,1.6330090042769686e-05,1.2733750131347356e-05,3.0420504628642567e-06,9.240182984462646e-06,1.7902372276269042e-05,6.818233471465693e-05,0.00040493500397300057,18.122539198932238,0.9999996632971125,5.982030868530273,7.731131315231323
20,3.419296359514009e-05,3.227555535874723e-05,3.4410794761485535e-06,1.3196783358493838e-05,2.0680366552439835e-05,0.00011742513200857582,0.0006266312631314031,18.00888568714309,0.9999991563686534,5.982030868530273,7.731131315231323
100,0.0001216725659969344,0.00012127829390750459,4.93897083296305e-06,3.183523164120034e-05,2.7624194223489347e-05,0.00043560936067697483,0.0019087369251520627,17.429836982545698,0.9999488265905598,5.982030868530273,7.731131315231323
