,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.10979952124476361,0.0865139543462961,0.07278899860363056,0.10566940579556296,0.1755834829443447,0.2625673249551167,0.1435907311123949,12.088013079130738,0.846229147737561,215.0629665851593,0.034203290939331055
10,0.1267475990994842,0.11734368121327297,0.06709433060493962,0.10845100720385414,0.18529377190732668,0.3370736086175943,0.23794852044418768,11.735453126222822,0.8722614518804277,215.0629665851593,0.034203290939331055
20,0.16299648764231944,0.16047751620647605,0.0672126353076097,0.11841628912219114,0.19063155903489457,0.4142728904847397,0.3842351883946338,11.496833704535199,0.897866467972211,215.0629665851593,0.034203290939331055
100,0.32057966413698263,0.32040254132296575,0.07274106790649934,0.15900452166113843,0.1954439750201328,0.6095152603231598,0.7925412414147249,11.231910217834395,0.9493183260613864,215.0629665851593,0.034203290939331055
