,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.14861215303825956,0.02749841092937404,0.10695361340335083,0.15629213308291873,0.2620905226306577,0.3915978994748687,0.16028988596397742,3.678700609240494,0.7103150427715565,119057.84837412834,0.1863994598388672
10,0.14136391240667312,0.04832497654892762,0.0837355215835327,0.14719532318800493,0.27711972636016147,0.5037509377344336,0.22487477352659063,3.853061474391766,0.7334862476523325,119057.84837412834,0.1863994598388672
20,0.1425834408219517,0.08039664501005896,0.06728599761854595,0.14104618196671495,0.2848268207312496,0.613278319579895,0.3025684749014175,4.056168511904925,0.7578525285113744,119057.84837412834,0.1863994598388672
100,0.23431862670295717,0.2250906757859206,0.0546396068533194,0.16802979184957642,0.2897410407260364,0.8098274568642161,0.5390600021315144,4.659201103968785,0.8170285737300368,119057.84837412834,0.1863994598388672
