,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Time_fit,Time_predict
5,0.007525610717100078,0.006357610081014336,0.0026224717625426843,0.005548395930493608,0.009495666,0.024822695035460994,0.002932551319648094,7.1191253662109375,0.8570828437805176
10,0.010997598408945927,0.010663016760765757,0.002780406193210145,0.0067864385038827624,0.011127059,0.03900709219858156,0.004312575470070726,7.1191253662109375,0.8570828437805176
20,0.015661043054660075,0.015504054738559826,0.003029166020712373,0.008207730799193872,0.012164008,0.054373522458628844,0.007072623770915991,7.1191253662109375,0.8570828437805176
100,0.028424070187435167,0.028424070187435167,0.003295235123478501,0.011724649887383738,0.013498794,0.1111111111111111,0.02363291357598758,7.1191253662109375,0.8570828437805176
