,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Time_fit,Time_predict
5,0.01955003248862898,0.00575976140262144,0.010922677063027941,0.019604405055554747,0.03827161,0.07309941520467836,0.11757567104511707,23.1469087600708,3.592660665512085
10,0.02134232185401776,0.011803464810084138,0.00812878550543024,0.01964368778677734,0.044230945,0.1189083820662768,0.1820388349514563,23.1469087600708,3.592660665512085
20,0.026370022666620713,0.020465920852650046,0.006709332984796069,0.0213382142054208,0.049217388,0.19298245614035087,0.26249286122215876,23.1469087600708,3.592660665512085
100,0.08098820365438203,0.08017463379489562,0.00734580155416446,0.04002542641123113,0.055499144,0.4551656920077973,0.5316961736150772,23.1469087600708,3.592660665512085
