,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.029989711934156376,0.027695544053568746,0.020309927983539096,0.025169561472958155,0.029320987654320986,0.046296296296296294,0.17346099184680977,8.243399734097833,0.6515357549754778,186.47877168655396,0.09841775894165039
10,0.040195105820105825,0.03986677331584739,0.021837388228420466,0.029226539497628906,0.03149311679404272,0.06378600823045268,0.2838656593612088,8.38202727734737,0.771301685247835,186.47877168655396,0.09841775894165039
20,0.05866721156073007,0.05866721156073007,0.02395660586002976,0.03529594903601275,0.03321614006395472,0.09002057613168725,0.44199266960879646,8.607100654098334,0.8649060835360178,186.47877168655396,0.09841775894165039
100,0.19326145034092565,0.19326145034092565,0.02792881691155932,0.06451085899690634,0.03724725455078375,0.2705761316872428,0.8403769915476101,9.29069508575116,0.9585263856814502,186.47877168655396,0.09841775894165039
