Run_id,k,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@k,Diversity@k,Novelty@k
0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.09470588235294118,,13.644176308086147
0,10,0.004347826086956523,0.0037999293036408625,0.0004931561996779388,0.001593813186730202,0.0013083735248073936,0.010869565217391304,0.12176470588235294,,15.118344441674713
0,20,0.0041666666666666675,0.003964619685722549,0.00046180168462777154,0.0015505580914267003,0.0015870803035795689,0.014492753623188406,0.14431372549019608,,18.220672204056267
0,100,0.01583399383752502,0.01583399383752502,0.000646165979382573,0.004571843865054951,0.0028106251265853643,0.08333333333333333,0.18058823529411766,,48.55645935671267
1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.09666666666666666,,14.021167647617201
1,10,0.0010869565217391307,0.0002651113467656416,0.00013586956521739133,0.0007546871949649705,0.0013586956774815917,0.010869565217391304,0.12666666666666668,,15.030793032362915
1,20,0.0005434782608695653,0.0002651113467656416,6.793478260869567e-05,0.00048705047393121447,0.0013586956774815917,0.010869565217391304,0.15411764705882353,,18.051028328470302
1,100,0.010282707651454975,0.010282707651454975,0.00025422304880150964,0.0033626452937514416,0.0025746412575244904,0.06884057971014493,0.183921568627451,,48.596603004763814
2,5,0.0,0.0,0.0,0.0,0.0,0.0,0.09058823529411765,,14.814958537799582
2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.12117647058823529,,15.787269228644071
2,20,0.00018115942028985507,0.00016469038208168644,1.3935340022296544e-05,0.00013516938538566897,0.00027870680787600577,0.0036231884057971015,0.14607843137254903,,18.44791880619431
2,100,0.014650482725842075,0.014650482725842075,0.0002627907409324842,0.0034428570441077276,0.0014135617529973388,0.06159420289855073,0.17705882352941177,,48.76070578685041
3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.09294117647058824,,14.407392666965174
3,10,0.00036231884057971015,8.837044892188053e-05,4.528985507246377e-05,0.00025156239832165684,0.00045289855916053057,0.0036231884057971015,0.11941176470588236,,15.932901381852655
3,20,0.0005434782608695653,0.0003124573622461424,4.611497388957343e-05,0.00041659552368004845,0.0009222995140589774,0.010869565217391304,0.14294117647058824,,18.36685403777163
3,100,0.00770634480250748,0.007667830595044283,0.00019740105084366125,0.0028870174096831142,0.002028633374720812,0.06521739130434782,0.19117647058823528,,48.82997229061673
4,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0976470588235294,,13.43349318174172
4,10,0.00036231884057971015,8.837044892188053e-05,4.528985507246377e-05,0.00025156239832165684,0.00045289855916053057,0.0036231884057971015,0.126078431372549,,14.850900914637815
4,20,0.0005434782608695653,0.0002071635114070314,4.171434019832189e-05,0.00040050211861168743,0.0008342867949977517,0.010869565217391304,0.15372549019607842,,17.597080662531457
4,100,0.007914807052871807,0.007914807052871807,0.00016390575011837336,0.0025538359236007492,0.0017397358315065503,0.06159420289855073,0.19823529411764707,,48.42960193601135
5,5,0.0,0.0,0.0,0.0,0.0,0.0,0.09941176470588235,,13.070935406589845
5,10,0.0,0.0,0.0,0.0,0.0,0.0,0.12745098039215685,,14.334034204079368
5,20,0.0,0.0,0.0,0.0,0.0,0.0,0.15196078431372548,,17.382683572080687
5,100,0.012208955105082263,0.012208955105082263,0.00023604389624162368,0.00339051502598509,0.0014449834125116467,0.07246376811594203,0.1843137254901961,,48.415685093779196
6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.09607843137254903,,13.5158507029387
6,10,0.004347826086956522,0.0037999293036408625,0.0004931561996779388,0.001593813186730202,0.0013083735248073936,0.010869565217391304,0.12686274509803921,,14.597572372311621
6,20,0.004528985507246377,0.0040834127482077,0.0004808710972898615,0.0017887100520613164,0.0019684687722474337,0.021739130434782608,0.1515686274509804,,17.425076055587404
6,100,0.01562640747452732,0.015587893267064123,0.0006968470816347211,0.005047240237790955,0.0033423183485865593,0.07971014492753623,0.20215686274509803,,48.5742972411395
7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.09294117647058824,,13.769129816043083
7,10,0.0036231884057971015,0.0036231884057971015,0.00040257648953301127,0.0010906883900868884,0.0004025764937978238,0.0036231884057971015,0.12098039215686275,,15.095098835599885
7,20,0.0041666666666666675,0.00401196570120305,0.0004399818759086493,0.0014801031411755343,0.0011506843147799373,0.014492753623188406,0.14549019607843136,,18.049781440340634
7,100,0.016589368471688917,0.016589368471688917,0.0006823883272870434,0.0047108757878223505,0.0021694654133170843,0.06521739130434782,0.16431372549019607,,48.49439249714429
8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0996078431372549,,14.168654071752854
8,10,0.003985507246376812,0.003711558854718982,0.000447866344605475,0.0013422507884085452,0.0008554750238545239,0.007246376811594203,0.13,,15.125928688489084
8,20,0.0038043478260869567,0.003711558854718982,0.00042522141706924317,0.00125303854806396,0.0008554750238545239,0.007246376811594203,0.15666666666666668,,18.092735393188065
8,100,0.019004636583849484,0.01896612237638629,0.0007198278564606173,0.0058606798304211664,0.0028697450179606676,0.11231884057971014,0.20823529411764705,,48.5784138395666
9,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0976470588235294,,12.94382389817165
9,10,0.00036231884057971015,8.837044892188053e-05,4.528985507246377e-05,0.00025156239832165684,0.00045289855916053057,0.0036231884057971015,0.12705882352941175,,14.52737562050159
9,20,0.0005434782608695653,0.00041775121308525344,5.051560758082497e-05,0.0004326889287484095,0.0010103121167048812,0.010869565217391304,0.15294117647058825,,17.321728359335406
9,100,0.010862440293499852,0.010823926086036655,0.00023455155138191704,0.003571152353728635,0.0023030543234199286,0.07608695652173914,0.19666666666666666,,48.31943554779651
10,5,0.0,0.0,0.0,0.0,0.0,0.0,0.09274509803921568,,13.980987458595838
10,10,0.0,0.0,0.0,0.0,0.0,0.0,0.11941176470588236,,15.608984609511909
10,20,0.00018115942028985507,0.00016469038208168644,1.3935340022296544e-05,0.00013516938538566897,0.00027870680787600577,0.0036231884057971015,0.1403921568627451,,18.14490806322954
10,100,0.010616938630972517,0.010578424423509316,0.00022046992572882662,0.0031552846454598244,0.0016327081248164177,0.06884057971014493,0.1715686274509804,,48.715713361769666
11,5,0.0,0.0,0.0,0.0,0.0,0.0,0.08901960784313726,,13.675535136236888
11,10,0.0007246376811594203,0.00017674089784376105,9.057971014492754e-05,0.0005031247966433137,0.0009057971183210611,0.007246376811594203,0.11411764705882353,,15.12235205842055
11,20,0.00036231884057971015,0.00017674089784376105,4.528985507246377e-05,0.00032470031595414303,0.0009057971183210611,0.007246376811594203,0.13666666666666666,,17.92977562266312
11,100,0.017218647978181453,0.017218647978181453,0.0003516009969740248,0.004363093584849992,0.0022480974439531565,0.07246376811594203,0.1652941176470588,,48.556655957892325
12,5,0.0,0.0,0.0,0.0,0.0,0.0,0.09352941176470589,,13.818462108748946
12,10,0.0,0.0,0.0,0.0,0.0,0.0,0.12019607843137255,,15.282895352467454
12,20,0.00036231884057971015,0.0002240869133242619,2.3470046353341545e-05,0.0002542453657029769,0.00046940092579461634,0.007246376811594203,0.14431372549019608,,18.32091788336446
12,100,0.013009389739045337,0.013009389739045337,0.0002314593925137876,0.003071681396732404,0.0011787008261308074,0.04710144927536232,0.16823529411764707,,48.67001718710128
13,5,0.0,0.0,0.0,0.0,0.0,0.0,0.09450980392156863,,14.312200608935859
13,10,0.0036231884057971015,0.0036231884057971015,0.00040257648953301127,0.0010906883900868884,0.0004025764937978238,0.0036231884057971015,0.12019607843137255,,15.469663017883207
13,20,0.0036231884057971015,0.0036231884057971015,0.00040257648953301127,0.0010906883900868884,0.0004025764937978238,0.0036231884057971015,0.14372549019607844,,18.135646916608433
13,100,0.01777245459872685,0.01777245459872685,0.0006739070725331953,0.004915325568393186,0.002082240767776966,0.08695652173913043,0.19176470588235295,,48.68787939091491
14,5,0.0,0.0,0.0,0.0,0.0,0.0,0.09588235294117647,,13.506487359325245
14,10,0.007971014492753625,0.007423117709437964,0.00089573268921095,0.0026845015768170903,0.0017109500477090478,0.014492753623188406,0.1256862745098039,,14.859950869206562
14,20,0.007789855072463769,0.007482514240680539,0.0008599775404695313,0.0026251530764452276,0.0019016442820429802,0.018115942028985508,0.15176470588235294,,17.70689521216296
14,100,0.02574559803211799,0.02574559803211799,0.0012002179870895628,0.007504555633400527,0.00380246015265584,0.10869565217391304,0.18490196078431373,,48.48553951511606
