,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K
5,8.010589254497916e-05,6.413619281350692e-05,3.310995214595483e-05,6.095611565302685e-05,0.00010157060023630038,0.0002320508655497285,1.0
10,0.00012434634402019656,0.00011482599464830218,3.452071244281297e-05,7.765698709114925e-05,0.00012824493751395494,0.00044089664454448417,1.0
20,0.00022308010568827585,0.00021743956303766965,3.969441464337987e-05,0.00011069342072121593,0.00015719774819444865,0.0008788926532695967,1.0
100,0.0011144475178945078,0.0011141359661247256,5.709127604224199e-05,0.00031958398811246156,0.0002242502087028697,0.004232027660463174,1.0
