,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Time_fit,Time_predict
5,0.011613723872387238,0.007461361043536545,0.008003873303997067,0.01334035465969979,0.029550332576036453,0.04207920792079208,0.0003935845714847978,,
10,0.010848279768453034,0.009495044540839473,0.006267584077238033,0.011883400779202857,0.030583467334508896,0.04950495049504951,0.0005267087647811264,,
20,0.011326413959970999,0.011033368118878535,0.005770076315190207,0.011497624031430759,0.03092961572110653,0.054496699669966994,0.0007755931261612192,,
100,0.011800893008375743,0.011796036485813814,0.005645309299644508,0.011399280636077026,0.03101222775876522,0.0577970297029703,0.0012212697732837108,,
