,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.07902568106888773,0.020381921396622885,0.04915459251547226,0.0785471571507779,0.13502516050668054,0.23373243102550756,0.04787177581997665,3.3211216500929464,0.585865894545632,2.079164743423462,0.011594295501708984
10,0.07816551399320791,0.03427730275086684,0.03812604290323144,0.07557688350139832,0.14648682481842296,0.3183237896928683,0.06448360046704171,3.427903184388591,0.6078050256766523,2.079164743423462,0.011594295501708984
20,0.08575960141617461,0.0576312888218156,0.030676696986346338,0.07496849600412918,0.15350582801173712,0.41905257678292557,0.08656193610020167,3.5624688973307577,0.6327088828641996,2.079164743423462,0.011594295501708984
100,0.18291841160200534,0.17930004425820562,0.02768615330978275,0.10336301501262952,0.15904801161491414,0.6452368558042686,0.17705126844284047,4.085246933224391,0.7087014302156989,2.079164743423462,0.011594295501708984
