,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.08019242706393544,0.01705280038950875,0.05040916614938962,0.08020330497936473,0.13651769087523277,0.23500931098696462,0.03710594678087482,10.465541268653107,0.5383091345720883,2.0954430103302,19.464725017547607
10,0.08020809316898703,0.02979669715584789,0.03911158047259183,0.07786046048329534,0.14920043746859388,0.33147113594040967,0.053780804605771254,10.485983195210327,0.5610787401271129,2.0954430103302,19.464725017547607
20,0.08844941311322306,0.05074658436092336,0.03212499948439505,0.0789648905317641,0.15723565884738205,0.4465549348230912,0.07733623534367759,10.504435294228214,0.5860930602159644,2.0954430103302,19.464725017547607
100,0.17094849487448352,0.16353372212236283,0.027405884842482946,0.10306968454886563,0.16316029205441537,0.6852886405959032,0.18387980060380538,10.744139810770347,0.6636073304255976,2.0954430103302,19.464725017547607
