,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K
5,0.08229783037475345,0.020148857031063363,0.05643951347797502,0.08515011144749689,0.14428009,0.2301775147928994,0.00959079283887468
10,0.08211561942331175,0.035603324142952926,0.04448243375807478,0.08181291818503776,0.15581362,0.3183431952662722,0.014705882352941176
20,0.0911798407649755,0.060958155693431486,0.03726882455006304,0.08252013511710504,0.1626947,0.41834319526627217,0.022485080988917307
100,0.16752514710022023,0.16335844682601597,0.03382453459051287,0.10742359423096089,0.16830482,0.636094674556213,0.057971014492753624
