,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.007173899149996805,0.005955345700444043,0.004105472827592084,0.006324379866177752,0.010690547708825974,0.01907713938774206,0.0044819912782872425,6.39908515223601,0.9099882723843321,0.521284818649292,0.10568356513977051
10,0.009444048811020116,0.008837503159779164,0.0040547893297907,0.0070661420186208706,0.012075213971743659,0.029590336805777464,0.007976957450244961,6.673261056572384,0.9205197033143521,0.521284818649292,0.10568356513977051
20,0.013849523489345048,0.013593430783017259,0.00422515755651432,0.008415891170459617,0.01321443795846153,0.0463028056496453,0.014756025339626366,6.990808997136018,0.9320200319303191,0.521284818649292,0.10568356513977051
100,0.033549755955162526,0.033530917612008736,0.004658832858442287,0.01325195551915093,0.014746105715100688,0.11094778551799067,0.06792527322649534,7.936108880693082,0.9558495827304531,0.521284818649292,0.10568356513977051
