,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.01984377661139239,0.014399183395299121,0.01034036777266839,0.01778694022488509,0.03183845046216731,0.06200938269311162,0.4005213764337852,10.853297059251927,0.8836397930506172,12.722413301467896,32.65453362464905
10,0.028523173246569597,0.026023725892271175,0.010142691701295378,0.021041415696612352,0.03707039305418237,0.10237354266338428,0.5590198123044838,10.897133652883793,0.8975597346805417,12.722413301467896,32.65453362464905
20,0.04678319908431442,0.04604653436702133,0.011006996111206552,0.027238516710822995,0.04114270449360335,0.16173533373589113,0.7289885297184567,10.73669883257815,0.9128856543199297,12.722413301467896,32.65453362464905
100,0.13435874504429987,0.13434395856937184,0.013549908836984493,0.05070080067817849,0.045786725458828566,0.36285939895025315,0.9516162669447341,10.242116354015504,0.946829539030269,12.722413301467896,32.65453362464905
