,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Time_fit,Time_predict
5,0.039621353196772194,0.0066924013497838275,0.01940978688185392,0.03692354104040088,0.06684047175667288,0.14711359404096835,0.0010180439514147301,13.380751132965088,0.3993856906890869
10,0.03793503000206911,0.013137371630620396,0.01434617423767907,0.03539864070516514,0.0753210073601135,0.2100558659217877,0.0013690935898336026,13.380751132965088,0.3993856906890869
20,0.03560974270713621,0.02031793948944254,0.01017304735792143,0.0321518856540599,0.07945793788923837,0.26927374301675977,0.0019307730113037984,13.380751132965088,0.3993856906890869
100,0.04337123368107881,0.04141309967938501,0.005943303975575884,0.02939308687379785,0.08297543221377898,0.42532588454376163,0.006634838166116689,13.380751132965088,0.3993856906890869
