,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Time_fit,Time_predict
5,0.05250471779035854,0.0402719023605484,0.0366732429804998,0.05390819163934703,0.097332306,0.13484302624806999,0.06322613774953463,16.46167278289795,3.4417240619659424
10,0.060969985867052254,0.05718634669876672,0.03261211908373269,0.0542920841041711,0.102843344,0.17653113741636645,0.09750304897618589,16.46167278289795,3.4417240619659424
20,0.0782270850366969,0.07724412498999611,0.03257313372079756,0.0591961649228543,0.105797656,0.2197632527020072,0.14391167597406765,16.46167278289795,3.4417240619659424
100,0.1657995662587562,0.16567338659065756,0.035330369642012804,0.08173776763566744,0.10917799,0.36541430777148737,0.34039412029013416,16.46167278289795,3.4417240619659424
