,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.005857885430646983,0.004857487691777678,0.0032648342245229825,0.005076411928120568,0.008412155684795808,0.01584968364542724,0.009004360856378874,6.8968053,0.9215834375570306,157.1084635257721,937.3812477588654
10,0.008068854925281078,0.007598097916225849,0.0032939987038939525,0.00583843696959842,0.009640901800740748,0.02511663577682623,0.015639861457566892,7.1176295,0.9325179416027334,157.1084635257721,937.3812477588654
20,0.012364217787566233,0.012167140301786552,0.0034963067778404243,0.007169572769307314,0.010699431675037339,0.0406148143414073,0.028269296340828743,7.363861,0.9420585527167024,157.1084635257721,937.3812477588654
100,0.03563480153245647,0.03561675872252492,0.003989021040195373,0.012719144353625573,0.012341871494011942,0.11395155620885793,0.10627119860739731,8.124562,0.963619009259803,157.1084635257721,937.3812477588654
