,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Time_fit,Time_predict
5,0.03182290948583426,0.011019480645437183,0.02028294797711164,0.03387428851553541,0.0664353147149086,0.10920912277137197,0.2684090190015103,,
10,0.03034979285224189,0.017894989254524783,0.01456107636713757,0.03129632128707182,0.07291117310523987,0.158385881909019,0.3681803800302066,,
20,0.03404236019435957,0.028410007230337174,0.01180758214530248,0.031230242990767362,0.07732341438531876,0.22278661045359882,0.4881352492045393,,
100,0.07748920245909716,0.077304327091275,0.012150170734451371,0.04626040130937827,0.0819801390171051,0.4206329049626657,0.7760890199566601,,
