Run_id,k,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@k,Diversity@k,Novelty@k
0,5,0.03247142079477409,0.02951265755960546,0.020618157624145646,0.027182354101115403,0.034304119646549225,0.05606967882416984,0.05113805415055043,,33.03045199087871
0,10,0.04465959855181412,0.04316135046405738,0.021922446421662273,0.03176950808080395,0.03761373460292816,0.08056614044637997,0.058501933948229695,,38.91193003162037
0,20,0.06300303951651974,0.061980122558339214,0.023110379289239653,0.03713868868771263,0.03971322625875473,0.1110506260206859,0.06357854805117524,,48.636827071218384
0,100,0.10282728020736454,0.10249575925760873,0.024152747184772984,0.046189805455846875,0.04125601798295975,0.17310832879695154,0.07821332936626005,,119.79607609579458
1,5,0.03239883868626383,0.029825785173516212,0.01892684328313071,0.025919738762462247,0.032144803553819656,0.058247142079477406,0.051175245462659925,,32.71141822224227
1,10,0.039177273159309085,0.03818223428148979,0.019412824011840264,0.028524801195540687,0.034584078937768936,0.07566684812193794,0.05915278191014579,,38.375510665240895
1,20,0.05615569786772835,0.05536467869830646,0.020654107507335432,0.0334514763705507,0.036289993673563004,0.10125204137180185,0.06467569175840523,,48.306069862600474
1,100,0.09347903585789512,0.09331122864735068,0.021552365562554063,0.04175596569908231,0.03781211003661156,0.16657593903102885,0.07970098185063969,,119.66708907030632
2,5,0.03464888405008166,0.03329844158712737,0.019771819996370895,0.027615651816619024,0.03571947291493416,0.06096897114861187,0.05039422790836061,,33.35249337610395
2,10,0.047311869766959586,0.04678911642642317,0.021818327373288877,0.032856046847518604,0.039066020399332047,0.0849210669569951,0.0580556382029158,,38.783956765994304
2,20,0.06127681311548028,0.06077608863909697,0.02292447555475378,0.037274608543738944,0.041154101490974426,0.11431682090364725,0.06290910443320441,,48.69223146727351
2,100,0.09351766483995883,0.09338600230502432,0.024081706739765972,0.0453901546855011,0.04263622686266899,0.170930865541644,0.07274620648616484,,120.16928463819634
3,5,0.03951188532026855,0.035943996136564835,0.022369352204681548,0.031133831381250737,0.04107239842414856,0.06913445835601524,0.050226867003867894,,32.619911040592584
3,10,0.052824221686497135,0.051318893816386345,0.02328488714181614,0.035680518838904655,0.04484105482697487,0.09635274904735983,0.05824159476346325,,38.40391414238354
3,20,0.07264791383348528,0.07180927997641334,0.024530101859868817,0.04133128113413968,0.0467439740896225,0.1241154055525313,0.06346697411484677,,48.286652926423194
3,100,0.10796389182365031,0.10770689289847439,0.02554819598055788,0.04958792657581812,0.04808385670185089,0.1829069134458356,0.07698601606664683,,119.8816829490488
4,5,0.03409544547269098,0.031738883625722074,0.020226819089094537,0.02804671764406524,0.03738885745406151,0.06096897114861187,0.0514913716155906,,33.02750113793489
4,10,0.041482403159049865,0.04027040311656591,0.020987985548863792,0.03088693909105027,0.039446648210287094,0.07675557974959173,0.05961767331151443,,38.83000721054276
4,20,0.05717151091689096,0.056533923430898754,0.021975225124686474,0.035356798702312425,0.04105965048074722,0.10234077299945564,0.06447113954180303,,48.65501199731674
4,100,0.0873071391487354,0.08711300194111485,0.02280192714786963,0.04248149396264107,0.04239398241043091,0.15841045182362548,0.0762793811365665,,120.06321312023633
5,5,0.03962983124659771,0.03786352420125926,0.022453880118550776,0.031107962782658555,0.039212483912706375,0.06641262928688078,0.04918551026480214,,33.33668405847961
5,10,0.05074353457586991,0.049670796884078904,0.024080566963372782,0.03541997436985251,0.04172520712018013,0.08437670114316821,0.05628905087771496,,39.054512250328706
5,20,0.06746255412702423,0.06661337149268463,0.025267418139404054,0.040261020699850616,0.04360698163509369,0.11213935764833968,0.06116111276405831,,48.92789475111167
5,100,0.10340656512255716,0.10307747632838819,0.026278510442724584,0.04880858789596994,0.04520770534873009,0.17909635274904737,0.07557274620648617,,119.96827946651032
6,5,0.036581382689167115,0.03335071259497322,0.020106151333696243,0.02832388437605806,0.036536019295454025,0.065323897659227,0.050654567093127045,,32.707138019571836
6,10,0.04815045234206911,0.046493206687206766,0.0211775481881698,0.03268915214004614,0.03982900455594063,0.08982035928143713,0.05974784290389765,,38.466731282988526
6,20,0.0663980361735569,0.06518453732629033,0.022346588874034214,0.038196323938643306,0.042175907641649246,0.12302667392487751,0.06627491817911337,,48.295900349381185
6,100,0.10200941606727007,0.1016330007760083,0.023233328679061444,0.04634602905687095,0.04347027465701103,0.17964071856287425,0.0839407914311217,,119.41573939040809
7,5,0.03927599346761024,0.03560767939829125,0.021665154539406036,0.03040759803844755,0.038051169365644455,0.06967882416984214,0.05221660220172568,,32.44596501820974
7,10,0.05157909289645818,0.049827781028559746,0.022845523479256013,0.03476108927345725,0.040911681950092316,0.09090909090909091,0.06026852127343053,,38.14252606390377
7,20,0.06776403886251177,0.0666846329645349,0.023800486955817164,0.03947299673977843,0.04273519665002823,0.1175830157866086,0.06519637012793811,,47.38189839970575
7,100,0.09652128688155193,0.09619289090000024,0.024483345004094798,0.04618814063259885,0.044017400592565536,0.16548720740337508,0.07893855995239513,,118.91544829423388
8,5,0.03146434403919434,0.028826520736987143,0.01745508982035928,0.023868921995345106,0.028370533138513565,0.051714752313554706,0.05156575423980958,,32.07401435812761
8,10,0.04290704305674366,0.041901792535734256,0.018352396937726282,0.027936887595949544,0.03153562918305397,0.07566684812193794,0.05941312109491223,,37.787014674912406
8,20,0.06528325698311087,0.06457499477472252,0.01987170470563626,0.034380688525255595,0.034112680703401566,0.11322808927599347,0.06422939601309134,,47.376039280652414
8,100,0.10726161476686542,0.10707215048233874,0.021127096819790192,0.04408287681017064,0.035645950585603714,0.18181818181818182,0.07858524248735495,,119.06656280916943
9,5,0.03983850480856469,0.03808857339558856,0.02256804572672836,0.030931029496009052,0.03813282772898674,0.06641262928688078,0.05115664980660518,,32.673213407784324
9,10,0.05233256430861221,0.05147094520991347,0.024189006032461977,0.03591328897193522,0.04154418408870697,0.0919978225367447,0.05872508182088664,,38.43674064367898
9,20,0.07305563435409007,0.07247848067852287,0.025752150679638045,0.04203457452052218,0.043744828552007675,0.1241154055525313,0.06354135673906576,,48.115537457588744
9,100,0.11174316646517092,0.11160188078295871,0.027068496348746415,0.05122401362360439,0.04530830308794975,0.18617310832879694,0.07263463254983636,,119.21615050652001
10,5,0.03761567773543821,0.03476339645586208,0.021679519748382028,0.030065124411485112,0.039275992661714554,0.06641262928688078,0.05229098482594466,,32.60639014722554
10,10,0.046488408464456364,0.04489476290051142,0.022519911561471297,0.03340516179497456,0.04188527539372444,0.08600979858464888,0.05995239512049985,,38.56157737993128
10,20,0.06188099012569688,0.060907944282875603,0.023394141446736603,0.037939166031188486,0.04374800994992256,0.11322808927599347,0.06517777447188337,,48.332557061230865
10,100,0.09476327579192692,0.09439522086142454,0.024265609789447994,0.04576721299590588,0.04523373022675514,0.17201959716929777,0.07791579886938411,,119.11353838793345
11,5,0.0326619488296135,0.029057011559905553,0.01925739430230448,0.026534641589435866,0.033278901129961014,0.0587915078933043,0.050580184468908065,,33.74963663949551
11,10,0.04670356257182604,0.045399542125103415,0.0205311926480304,0.03155917871135823,0.03691858798265457,0.08600979858464888,0.05837176435584648,,39.570289123263684
11,20,0.0647269080039902,0.06377593924428676,0.021724014991714547,0.03685096635238959,0.03905641287565231,0.11594991834512793,0.06369012198750372,,49.041099776181625
11,100,0.09949309556137302,0.09926237539402326,0.022652241837282334,0.0449343902385182,0.040429238229990005,0.17419706042460534,0.0764839333531687,,120.4184892389156
12,5,0.033451279259662486,0.03133025942621156,0.02012097018085042,0.027111869935494318,0.03397750109434128,0.054980947196516056,0.04965040166617078,,33.025573884959776
12,10,0.04468616878796519,0.043365510874671484,0.02120388851925778,0.031066173121126812,0.036780767142772675,0.07675557974959173,0.05695849449568581,,39.19448721652472
12,20,0.06235284045715814,0.061349205709558235,0.022356270738060846,0.036078836628447346,0.03870931267738342,0.1045182362547632,0.06279753049687593,,48.879496526268156
12,100,0.09833603772333976,0.09797481889462134,0.02328129751519281,0.044311747865104785,0.04014755040407181,0.1638541099618944,0.07875260339184767,,120.39426952767413
