,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Time_fit,Time_predict
5,0.00967297084318361,0.008287335858257843,0.005649133175728921,0.009270964868618786,0.016706068068742752,0.028368794326241134,0.012720334363074686,,
10,0.0141539082141919,0.013926895930442027,0.005676995384442193,0.010879525122471562,0.019189275801181793,0.04728132387706856,0.020715973105578774,,
20,0.02276814989580947,0.022729533567299523,0.006262416997660796,0.013923849116304622,0.021145746111869812,0.0768321513002364,0.03579865527893876,,
100,0.08545469094160218,0.08545469094160218,0.00791145470491393,0.03006246253157481,0.025060031563043594,0.25059101654846333,0.11539160457932036,,
