,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.01711825626204239,0.014103631094671392,0.008597920234781987,0.01424642831108114,0.023400034789124387,0.04672447013487476,0.04725542968016524,8.839389846223686,0.9125765166697374,2445.6042971611023,1.257941722869873
10,0.02588266252765289,0.024433205755586697,0.009053929939838216,0.017713144694808353,0.027643129211650408,0.07891779062299294,0.07423170808036553,8.948578417971232,0.9219870402156746,2445.6042971611023,1.257941722869873
20,0.04111335627146902,0.04060138539012065,0.009944185896116628,0.022779314479323434,0.030688760317481436,0.12381583172768144,0.11376174679673459,9.135431994472778,0.9325896371781335,2445.6042971611023,1.257941722869873
100,0.12636871076850137,0.1263583719048167,0.012270823629963814,0.04382900621574075,0.03448448043183172,0.28990044958253053,0.2848112018168975,9.892040366801165,0.9578199827277399,2445.6042971611023,1.257941722869873
