,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,1.278164983886875e-06,9.236397500863855e-07,3.848238661164785e-07,9.149589614568999e-07,1.4430894979367942e-06,4.947735421497581e-06,0.0001160017584676822,20.946664076536305,1.0,25.896482706069946,39.00526189804077
10,1.6629888500033534e-06,1.4593156238705334e-06,3.9055041174321177e-07,1.0969567057668386e-06,1.8439476918081261e-06,8.246225702495968e-06,0.0001796540054217437,20.91379943467959,1.0,25.896482706069946,39.00526189804077
20,5.8558136850537945e-06,5.7346094496301535e-06,6.323366473180451e-07,2.5423681943131574e-06,3.0305852953311733e-06,2.7212544818236695e-05,0.0002980352871400451,20.16689768231785,0.9999999956598812,25.896482706069946,39.00526189804077
100,1.685761862735399e-05,1.685761862735399e-05,8.149845576207755e-07,5.813198076637595e-06,4.680312360995944e-06,0.00011627178240519315,0.0009422912072451724,19.750994798380567,0.999990391076835,25.896482706069946,39.00526189804077
