,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.03420464858621218,0.01602219317539247,0.018796103538300156,0.03328452072356135,0.06453464045354361,0.11966514621123722,0.7540206534619942,4.7359330738674394,0.7055781517523512,18278.942903995514,35636.89702677727
10,0.038507952433710906,0.026729048108340345,0.015304359282092547,0.033793993359487774,0.07255551289973695,0.18040822460309042,0.8318943626206196,4.795475220783279,0.7242223458689363,18278.942903995514,35636.89702677727
20,0.04980175664256989,0.04313643937272089,0.013984837223333635,0.036788105185806545,0.07789895875279237,0.25814592836179767,0.8878167146323571,4.870694204334921,0.7439742460639112,18278.942903995514,35636.89702677727
100,0.11635370082536503,0.11539055568851465,0.01488176009391843,0.05629423516415031,0.08317535228048072,0.4793854531310774,0.9655211331188985,5.058588194377656,0.7837678691297314,18278.942903995514,35636.89702677727
