,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Time_fit,Time_predict
5,0.005398671096345515,0.0043103023828970875,0.0032918050941306756,0.0045053202851595775,0.006076965946704149,0.012458471760797342,0.039747754634053126,301.36046290397644,16.103677988052368
10,0.007042332436850709,0.006140240053641698,0.0033637214575752785,0.0051678199132388185,0.007185374386608601,0.020764119601328904,0.06611886107395376,301.36046290397644,16.103677988052368
20,0.008118232503119568,0.007429512576729286,0.0033881313818192186,0.005587409733568953,0.007909473963081837,0.03156146179401993,0.11026180011465699,301.36046290397644,16.103677988052368
100,0.019898886828178634,0.01981808013940774,0.0035949250937004347,0.008634164963055158,0.009097293950617313,0.08471760797342193,0.29906363462640934,301.36046290397644,16.103677988052368
