,Model_name,score,ranks
0,MostPop,10.766666666666667,11.0
1,LightFM,8.833333333333334,10.0
2,ALS,7.633333333333334,9.0
3,SLIM,7.533333333333333,8.0
4,BPR,6.566666666666666,7.0
5,EASE,5.833333333333333,6.0
6,LightGCL,5.1,5.0
7,MultiVAE,4.8,4.0
8,ItemKNN,4.233333333333333,3.0
9,LightGCN,3.6,2.0
10,Random,1.1,1.0
