,Model_name,score,ranks
0,ALS,0.10550358929736785,5.0
1,BPR,0.08810093539264739,9.0
2,EASE,0.12062214487709375,1.0
3,ItemKNN,0.10017402653904722,6.0
4,LightFM,0.0998477267783337,7.0
5,LightGCL,0.1103980857080705,4.0
6,LightGCN,0.11148575157711552,2.0
7,MostPop,0.057537524472482046,10.0
8,MultiVAE,0.11061561888187948,3.0
9,Random,0.0025016314988035677,11.0
10,SLIM,0.09321296497715906,8.0
