,Model_name,score,ranks
0,Random,10.8,11.0
1,MostPop,8.75,10.0
2,BPR,7.916666666666667,9.0
3,ItemKNN,7.066666666666666,8.0
4,LightFM,5.516666666666667,7.0
5,LightGCL,5.416666666666667,6.0
6,SLIM,5.333333333333333,5.0
7,ALS,4.866666666666666,4.0
8,LightGCN,4.033333333333333,3.0
9,MultiVAE,3.75,2.0
10,EASE,2.55,1.0
