,Model_name,score,ranks
0,MostPop,10.8,11.0
1,LightFM,8.766666666666667,10.0
2,ALS,7.766666666666667,9.0
3,SLIM,7.666666666666667,8.0
4,BPR,6.733333333333333,7.0
5,EASE,5.6,6.0
6,LightGCL,5.0,5.0
7,MultiVAE,4.933333333333334,4.0
8,ItemKNN,4.166666666666667,3.0
9,LightGCN,3.566666666666667,2.0
10,Random,1.0,1.0
