,Model_name,score,ranks
0,ALS,0.016438356164383564,9.0
1,BPR,0.04557907845579079,7.0
2,EASE,0.07447073474470736,6.0
3,ItemKNN,0.16537982565379822,2.0
4,LightFM,0.010460772104607722,10.0
5,LightGCL,0.11058530510585304,4.0
6,LightGCN,0.13872976338729767,3.0
7,MostPop,0.006724782067247821,11.0
8,MultiVAE,0.0986301369863014,5.0
9,Random,0.29887920298879206,1.0
10,SLIM,0.03412204234122043,8.0
