,Model_name,score,ranks
0,Random,10.8,11.0
1,MostPop,9.066666666666666,10.0
2,BPR,6.933333333333334,9.0
3,ItemKNN,6.1,8.0
4,LightFM,5.666666666666667,7.0
5,LightGCL,5.633333333333334,6.0
6,ALS,5.2,5.0
7,SLIM,5.166666666666667,4.0
8,LightGCN,4.533333333333333,3.0
9,MultiVAE,4.066666666666666,2.0
10,EASE,2.8333333333333335,1.0
