,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.0007458847736625514,0.0006715820759030636,0.00016632373113854596,0.00036689707291303204,0.00037722908093278465,0.0015432098765432098,0.5381697119851347,13.172714710903076,0.9990135432622591,0.019432783126831055,0.6746652126312256
10,0.000823045267489712,0.000800182898948331,0.0001744072114442485,0.00041014024341713684,0.00045071526553008037,0.00205761316872428,0.7946732734592753,13.155355607694874,0.9990085884880042,0.019432783126831055,0.6746652126312256
20,0.0015717878372199358,0.0015717878372199358,0.00021406253402138175,0.0006143444763080416,0.0005446142791821804,0.00360082304526749,0.9794053886652214,13.126249278583836,0.9991273998482944,0.019432783126831055,0.6746652126312256
100,0.005900528655158285,0.005900528655158285,0.00030468353169428125,0.0017708630391819794,0.0009248634539821553,0.021604938271604937,1.0350727779498297,13.13860753447936,0.9990786982846044,0.019432783126831055,0.6746652126312256
