,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K
5,0.0026387594835618265,0.0024951908723159174,0.0011568374077524882,0.0018336492473031932,0.0023886377,0.005457207506987888,0.00017101032902387304
10,0.007337466909209223,0.007282289380735483,0.0017964496145708231,0.0035839127124320893,0.0035641664,0.013742845734060961,0.0002907175593405842
20,0.00862117766993356,0.008593500461408915,0.001879456224967766,0.004018775241050423,0.0038480104,0.018068680953014775,0.0005301320199740064
100,0.01613063378515165,0.0161252638512982,0.0020816524249807253,0.005939042057696446,0.0042972206,0.038366830826567284,0.002872973527601067
