,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Time_fit,Time_predict
5,0.036500511621108025,0.03435641484729387,0.01979941204177427,0.028270838830033933,0.037153438,0.06899576085367637,0.09983859810929213,13.810871124267578,4.859009504318237
10,0.05812276818343183,0.057203569865903456,0.022403314811444884,0.03627045789194447,0.0425069,0.10977927203625201,0.13511643993543923,13.810871124267578,4.859009504318237
20,0.09286926395105749,0.09256593431318973,0.02483395649520257,0.04660728945401516,0.04649156,0.168250255810554,0.17638920913073552,13.810871124267578,4.859009504318237
100,0.2312629786133392,0.2312613797973766,0.02872990979000342,0.07720966449539605,0.05120962,0.3677824879403596,0.3470140650219045,13.810871124267578,4.859009504318237
