,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K
5,0.05329580135022658,0.01694857846465866,0.03760247759898066,0.05457495946419268,0.08826008439064026,0.14227087764727642,0.00013750250202337544
10,0.05123757925131271,0.025339453861221828,0.029150228060035557,0.05101574715978561,0.09432137757539749,0.18876583741792288,0.0002019024080343234
20,0.04831813089643925,0.03480606195911308,0.0223123276020824,0.04589819016225004,0.097484290599823,0.23216267455840192,0.000304594150051781
100,0.11666964773767294,0.11310074518801592,0.021302559359106934,0.06600170561584505,0.10366660356521606,0.49200036992509016,0.0008598257721461704
