,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.09947324638103568,0.028530765365585426,0.06982306948087696,0.10307438052099367,0.17451453657825705,0.26253278927426404,0.026891312104571522,5.636918611668782,0.7219143296570086,42.34348917007446,1.9865474700927734
10,0.09623602118638189,0.04420566291415964,0.05456590986054924,0.09638894658602123,0.18415668675660293,0.33461454386476247,0.03746333991836877,5.913448272339774,0.7599581296395661,42.34348917007446,1.9865474700927734
20,0.0995523896346927,0.06622514202916428,0.0439429267950825,0.0917477317542294,0.18941547637851536,0.4105581463130283,0.05183148111081135,6.2555766222266564,0.7991830537244348,42.34348917007446,1.9865474700927734
100,0.14796315222929404,0.14058904652091486,0.03520021438026056,0.09794701256335225,0.1936230486191968,0.5793591518507724,0.10248809907142298,7.4594864716699645,0.8847114905789761,42.34348917007446,1.9865474700927734
