,Precision@k,Recall@K,MAP@K,nDCG@k,MRR@k,HitRate@k,Coverage@K,Novelty@K,Diversity@k,Time_fit,Time_predict
5,0.14036634158539635,0.024802680448887796,0.09750375093773443,0.14413006202986045,0.23717179294823704,0.37809452363090773,0.09634445273366728,3.4558528517023293,0.6920253343940082,5.832375526428223,0.010052680969238281
10,0.1339519403660439,0.04357812859735622,0.0770281997937126,0.1367992369808999,0.25124108408054396,0.48237059264816207,0.12000426302888202,3.5531636854729745,0.7087298228000249,5.832375526428223,0.010052680969238281
20,0.1354571558226284,0.07448957507355891,0.062060167889555574,0.13220593535990743,0.2592782059909097,0.5960240060015004,0.14547586059895556,3.684756301765372,0.7284762182800737,5.832375526428223,0.010052680969238281
100,0.22274080155594617,0.21317721625151334,0.05055004336799409,0.1594904966692126,0.2642530748822342,0.7914478619654913,0.23617180006394542,4.173531755047061,0.7886198185910858,5.832375526428223,0.010052680969238281
